iter	Logloss
0	0.5797569729
1	0.4972693533
2	0.4341715616
3	0.3938313091
4	0.363384298
5	0.3289020129
6	0.3020963106
7	0.2822010185
8	0.2680365757
9	0.2591308836
10	0.2523507916
11	0.2420925689
12	0.2370489419
13	0.2326732511
14	0.2295507174
15	0.226546709
16	0.2239700947
17	0.2210679466
18	0.2174407064
19	0.2147647007
20	0.2124496274
21	0.2101157148
22	0.2078652014
23	0.2021774816
24	0.1996012416
25	0.1967567254
26	0.1934425721
27	0.1918292084
28	0.1897868503
29	0.1891516061
30	0.1872561554
31	0.185331467
32	0.1834462743
33	0.1821516707
34	0.1801143659
35	0.1767433936
36	0.1754572218
37	0.1729291903
38	0.170632818
39	0.1693642172
40	0.1672167577
41	0.1654253779
42	0.1637406841
43	0.1629233398
44	0.1614019913
45	0.160081205
46	0.1587334229
47	0.1567082441
48	0.1550297818
49	0.1541432427
50	0.1518870258
51	0.1508867322
52	0.1492945
53	0.1483821149
54	0.1470227962
55	0.1462043307
56	0.1448366212
57	0.1437197854
58	0.1422859444
59	0.1393398068
60	0.1373540272
61	0.1363359023
62	0.1346158748
63	0.1334007074
64	0.1312692863
65	0.1299760459
66	0.1292767458
67	0.1281175163
68	0.1270563233
69	0.1265614512
70	0.1253485497
71	0.1241234703
72	0.122426684
73	0.121441234
74	0.120113403
75	0.1186911139
76	0.117318663
77	0.1164786837
78	0.1161586948
79	0.1151072381
80	0.1144483491
81	0.113416573
82	0.1105382523
83	0.1087482426
84	0.1079925861
85	0.1065186578
86	0.1058287781
87	0.1047778929
88	0.1011060066
89	0.100115165
90	0.09956276519
91	0.09860332793
92	0.09783570624
93	0.09677146982
94	0.09605921036
95	0.09533388816
96	0.09495220376
97	0.09427501425
98	0.09399447059
99	0.09275054194
100	0.09132780987
101	0.09012139271
102	0.08906173425
103	0.08797975726
104	0.0864805459
105	0.08524194438
106	0.0827870714
107	0.08186660795
108	0.08092941164
109	0.07907783312
110	0.07825526844
111	0.0762296878
112	0.07491379896
113	0.07403263732
114	0.07334012288
115	0.07255444275
116	0.07212833177
117	0.07128714865
118	0.07077994991
119	0.07016186533
120	0.06994916105
121	0.0687485029
122	0.06852659411
123	0.06833554288
124	0.06767229573
125	0.06716015461
126	0.0667689415
127	0.06618764666
128	0.0658067931
129	0.06424384676
130	0.06367884316
131	0.06311427021
132	0.06285657864
133	0.0624142235
134	0.06200364433
135	0.06140395137
136	0.06134573543
137	0.06069005533
138	0.06061243242
139	0.06009221777
140	0.05925825668
141	0.0579297427
142	0.05760666419
143	0.05682438932
144	0.05631062543
145	0.05605660628
146	0.05577681105
147	0.0551029089
148	0.0546487237
149	0.05401406062
150	0.05329691745
151	0.05287311059
152	0.05224262237
153	0.05183022478
154	0.05157939861
155	0.05107458662
156	0.05056818701
157	0.0502163777
158	0.0498665373
159	0.04946817596
160	0.04888676639
161	0.04841065862
162	0.04822426835
163	0.04779656696
164	0.04741530824
165	0.04707199678
166	0.04607510252
167	0.04565013383
168	0.04529718074
169	0.04501632517
170	0.04489986394
171	0.04453560359
172	0.04445180171
173	0.04403406656
174	0.04377916147
175	0.04345839353
176	0.04314155095
177	0.04268775806
178	0.04231444847
179	0.04194034507
180	0.04126200788
181	0.04041120202
182	0.04024948661
183	0.04016854352
184	0.03980773674
185	0.03954757558
186	0.03923915296
187	0.03890177139
188	0.038814021
189	0.03848730086
190	0.03825109108
191	0.03802949323
192	0.03791946531
193	0.03722216393
194	0.03697188665
195	0.0367053508
196	0.03618981405
197	0.03597478617
198	0.03573564828
199	0.03549178487
